Comment,Time,Reply Count
"As someone who was born and raised in Qatar, AND has literally been to the industrial area on foot. I can confirm that most of this is quite common knowledge. Most people are aware of the fact that these labour workers or labourers are treated quite harshly with abysmal working conditions. The footage you've collected is quite accurate and it's impossible not to notice living there. Every where you go, you could see them working on the side of the road and on buildings wearing the uniforms even in the heat. There are a lot of parts of the city, especially industrial area where you have huge labour camps. But the thing is, it's so normalisied that it doesn't really stand out or seen as that big of a problem. It's sort of just accepted. This is the case for most gulf countries, where you have a huge portion of the labour class essentially just segregated, and the kafala system is a rapant problem and a huge human rights issue across the region. Qatar has a huge immigrant population, mainly to reach it's 2030 goal and vision for the future. Seeing as most of the infrastructure for those projects have already been completed, it's a bit too late. The damage has been done. The fact that Qatar is an incredibly rich country and could've easily paid these workers fair wages yet they chose to actively exploit them for as cheap as possible baffles me.",2022-11-27T18:36:16Z,0
What is the responsibility of the Soccer/ football players? They should not play if they are playing and benefit from these terrible working conditions,2022-11-27T18:35:46Z,0
😂😂😂🤣🤣🤣🤣😉😉😉😉😉😉😁😁😁🤑🤪😜😜😜😜🥵🥵🧐🧐🧐🤧🤧🤧🤧🤧🤧🤧🤧🤧🤧🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱🥱,2022-11-27T18:34:38Z,0
"I have to say I see some arrogance in his eyes while talking to others ( not looking them at the eyes , intentionally interrupting them) also the slurping and the whole miso soup thing really unnecessary",2022-11-27T18:30:01Z,0
"Labor enslavement is something we should be worrying about more. I see it in USA where they pay people legal minimum the Antihuman corrupted government sets based off corrupt standards and people think they get paid alright eventhough a car costs 30k, so they're actually working like a slave",2022-11-27T18:29:21Z,0
"Yet people watch it and enjoy it, humans are really a strange species",2022-11-27T18:29:06Z,0
"This is how alot asian country look like i am syrian, believe me its wors",2022-11-27T18:27:56Z,0
"Well at the end of the day those workers aren’t forced to go to Qatar. Obviously the lack of work in their own countries are what pushes them to make such decisions. They could stay in Nepal or wherever they are from, nobody dragged them over there.",2022-11-27T18:23:21Z,0
My Lithuanian grandparents were made to be slaves for the Russians and in the 1900’s other Lithuanians were recruited by the Pennsylvania coal miners to come to US and be coal miners. They lived in paid for homes and were basically slaves themselves. Their USA born children broke the cycle.,2022-11-27T18:20:30Z,0
"I am from India , a software professional. These kind of things happen normally in gulf nations not just Qatar, all our Indian brothers are treated as slaves. World cup actually put this into spotlight. Our friends go there because of the debt they have here and those who coudlnt complete their degree. Few of them travel to countries like Singapore but not treated like this",2022-11-27T18:13:41Z,0
"If you ever talked to any philippines folks every each one of them knows someone working in the arabian gulf as a maid who is either maltreated, starved, raped, or abuse to the point of death. Even until now most of them aren’t given justice yet. An estimated number of victims aren’t even posted yet because they know that almost more than thousands of maids are victims of this great injustice. May more people of the west give light to these untold truths and normalized horrors that most of my folks have long endured.",2022-11-27T18:13:23Z,0
"Hey Johnny,

Your reporting is very accurate, yet still disingenuous. You must say that this happens in all of the GCC countries all together and not a special case for Qatar: Saudi Arabia, Emirates, Kuwait, Bahrain, Oman, even in some other places near them also have the same state of affairs for tens of years ever since discovering hydrocarbons there. You must also say that the construction business, specifically, is ones of the most lethal jobs world wide, not only in that place, but in many other places in Africa, Asia, South America, even the US and Canada for undocumented immigrants and people in need for ""any job they can have"". You must also say that those construction contractors are European and American companies and they are after maximizing their profits, just like the Qataris. Here in Quebec, we were told in an official training that ""we more people in Quebec's construction than any other profession here!"" and that is Quebec in Canada of North America!

I would even take it a step further, those workers coming from humble backgrounds are already suffering poverty and harsh life conditions at their own country and their governments: their live conditions are directly influenced by negligence and corruption there. When many go to the very harsh and unspeakable working condition at the GCC countries, and this deeply disheartens me, are at an UPGRADE of their original lifestyles! Hands down they are not treated good. Hands down they deserve to be treated better. But if the World Cup thing has done nothing but to force the laws in those places to change for the better, then it is a HUGE human value already.

I have worked, firsthand, under the Kafala system; to be completely overlooked by a local sponsor. It is a very unjust system and needs reform, the least to say, if not abolished at all. But I have also seen how it is becoming looser and looser and how it is getting re-organized to better benefit the workers. I hope to see it dissolve altogether with no coming back.

Wanna a scoop? OK. See those workers protests ""quashed"" by the Qatari police? I have a firsthand account from an eye witness who said that the reinforcements to the police came from the American military base there; Al Udeid Air Base. Have a good night sleep Johnny!

Cheers,",2022-11-27T18:12:34Z,0
He had a flake in his beard,2022-11-27T18:12:33Z,0
"Qatar is hiding that America and  Bratain Killed Millon of Iraqi , Libian and arab people for the oil.,,,,,,,,,,,,,,,,,,,.,.",2022-11-27T18:10:41Z,0
"Qatar is hiding that America and  Bratain Killed Millon of Iraqi , Libian and arab people for the oil.,.,.,.,.",2022-11-27T18:10:33Z,0
"Qatar is hiding that America and  Bratain Killed Millon of Iraqi , Libian and arab people for the oil.............",2022-11-27T18:10:23Z,0
"Qatar is hiding that America and  Bratain Killed Millon of Iraqi , Libian and arab people for the oil..",2022-11-27T18:10:15Z,0
"Qatar is hiding that America and  Bratain Killed Millon of Iraqi , Libian and arab people for the oil",2022-11-27T18:10:09Z,0
They builders. Have you ever seen any millionaire that’s a builder. Johnny you should employ them and lose all your money cause you obviously don’t have any idea how business works .,2022-11-27T18:08:47Z,0
Reminds me of Brazil,2022-11-27T18:03:09Z,0
"Oh, this was expected. Its been happening for years.",2022-11-27T18:02:27Z,0
"Poor people should never have kids, so they will never be exploited, there you go, another reason to not have kids.",2022-11-27T18:01:53Z,0
Thanks for this awesome video… ❤❤❤❤,2022-11-27T18:01:46Z,0
SCAM ALERT !!  STABLISHED TITLES.,2022-11-27T17:59:35Z,0
👁️,2022-11-27T17:57:52Z,0
"Hey Johnny, great video. Thank you for making this, and I'm glad a lot of people have watched the video already. 

Small (technical) remark: I think the audio levels are a bit over the place, I'm listening with headphones and I find myself frequently adjusting the audio during this video.",2022-11-27T17:55:17Z,0
Worst report ever . I mean get a life. If they don’t want to be abused. Don’t go there . They got paid and they went there voluntarily. How do you know how those people died . 😂😂😂😂😂😂😂😂😂,2022-11-27T17:52:20Z,0
"Thank you for your work, Johnny. You do such good work. Didnt this same thing happen once in a S. American country when they had the Olympics?  I wish I could remember the country. A documentary was done on that one also!  Keep us posted! Stay safe my friend!",2022-11-27T17:50:20Z,0
"John’s boy, stop inhuman treatment of immigrants in your country",2022-11-27T17:47:37Z,0
"I love your journalism, you are GREAT!",2022-11-27T17:46:23Z,0
Please pay war reparation to India and other colonies of Europe. Pay Iraq for illegal war against her. The expatriate working in Qatar have come voluntarily and legally unlike the slave trade of Europe and America. Shame on you.,2022-11-27T17:45:20Z,0
"Okay. Now do the USA, France and the UK.",2022-11-27T17:17:06Z,0
"This is over sensationalised. A good piece, but not true. You can use cameras in lots of places easily. You are told not to, but you just say sorry didnt mean to and put the camera away. I was filming some stainless steel sculptures in the hospital grounds the other day and the guard told me I wasnt suppoed to and i finished the shots and said sorry didnt realise. Some areas are okay some not.  There are hardly any police in that industrial area... Ever. Unless there is trouble. Nobody is interested in it. 

People are going around with cameras everywhere now and nobody says anything. You guys should have come during the world cup ha ha ha. Over sensationalised.",2022-11-27T17:17:04Z,0
"The industrial area is where most workers work and live its not hidden nor is it hiding anything, yes we have issues like any country, but calling it slavery when they get free water, electricity, housing  and a high discount on medical expences is idiotic.",2022-11-27T17:14:15Z,0
5:35  is the music 2022 remix of Technotronic pop the jam ??,2022-11-27T17:13:39Z,0
"I notice they are checking kidney function in everyone now for visa medicals. Alot of people with kidney issues cant cope as well with the heat. I asked the doc that took my blood standing in line for the country ID card. He said creatinine clearance they check too. The West doesnt know how lucky they are that they didnt see the human suffering when their countries were being built. Trust me, it would have been more than this. Much more.",2022-11-27T17:10:01Z,0
And they still talking about slavery in the west that ended 200 years ago,2022-11-27T17:06:35Z,2
ok 150 by US and 120 by UK. in other words your grandparend's grandparent. Lets not talk what the arab and Muslim word did then and doing until today.,2022-11-27T22:10:30Z,
"False Britain carried out slavery in 1900s, they also brought famine in west bengal",2022-11-27T17:37:37Z,
"Haha...geez. Too funny...
""I'm white and I cant go there?..this is unacceptable!!!"" 
White people will NEVER understand! Their ego DNA cannot allow this type of reasoning. Hahaha
That's what you get for not having dark skinned friends!! 😂",2022-11-27T17:05:09Z,0
"As a poor and weak nation our government doesn't have the guts to raise its voice.( Hopefully that changes someday)
Thinking about this the value of money and what people do to feed their family just has a different frightening weight to it.",2022-11-27T17:03:39Z,0
"Johnny, I love your style. Youre just intelligent and likeable, keep it up my guy!! Takes Juan to know John hahaa",2022-11-27T17:01:20Z,0
Bro that’s crazyyyy💀💀💀 all workers trapped together no chance of having family,2022-11-27T17:00:58Z,0
Thanks Johnny.,2022-11-27T16:58:18Z,0
US border same program.,2022-11-27T16:58:14Z,0
"This is how every country works , they keep people poor because who else is going to bag your groceries, build the roads , etcc",2022-11-27T16:55:19Z,0
"Blessings,. For you and all the value heros. !!!!        It came to me me.  HOW. ????  It was DONE ???
T H A N K S.     
  You are In my prayers.  !!!!",2022-11-27T16:34:25Z,0
"It’s always worker choice to stay or leave making 12 to 15 times more $ in Qatar In their own country employees dies on the job everywhere if  you sign d
contract for 12 hour shift. If you do not like doing that, then leave  Qatar is Muslim country. And we as a human we have to respect a culture. No matter  where you come from respect respect ✊",2022-11-27T16:30:16Z,0
"Thank u for making this video, thank u for speaking for us...",2022-11-27T16:27:09Z,0
"UAE Is jus the same as this.... I am an indian and everything he says is very accurate, nt jus qatar, uae is jus the same as this",2022-11-27T16:23:45Z,0
Shouldn't have given Qatar the rights.,2022-11-27T16:22:41Z,0
"Yes, Qatar The Most Luxury Country In The World",2022-11-27T16:19:15Z,0
"Make Murica Great Again
Oil oil oil, war LOL",2022-11-27T16:16:37Z,0
F$%k the World Cup smh… Poor people how they know I care about them🙏🏽,2022-11-27T16:15:28Z,0
As if Europe or the States is any better !!!,2022-11-27T16:13:03Z,1
????? YES they are ANY better. It's not very fucking hard to have job conditions that won't fucking kill you,2022-11-27T17:01:02Z,
Since when do u take sides when you do research? Fuckin hypocrite,2022-11-27T16:12:10Z,1
"Yes, thats right",2022-11-27T16:25:25Z,
"Being a Nepali, I can confirm the arrival of people from Qatar with a disappointed face, physically disabled condition and even inside a wooden box sometimes. Even today, I have my own relatives working in Qatar. Thank you Johnny Harris for showing this to the world.",2022-11-27T16:10:55Z,0
Tamim Bin Hamad Al Thaani needs to see this!,2022-11-27T16:07:52Z,0
Coming from The world biggest human rights violaters America,2022-11-27T15:59:33Z,0
"Actually thing is that a Muslim countries hosting World Cup so it is your headache how to stop that
 you crusader",2022-11-27T15:59:04Z,0
Simply wrong on every single level. How can people treat other's with such disdain?? And to think about all the millions supporting such atrocities. In my eyes they're all guilty by association like joint enterprise in the court of law.,2022-11-27T15:57:28Z,0
"AMERICA 🇺🇸  
🇬🇧 UK 
ACTUALLY THE WHOLE OF EUROPE IS WHAT IT IS BECAUSE OF BLACKS BEING SLAVED 

SO ATTACKING QATAR 🇶🇦 NOW BECAUSE OF THIS AAH IT'S SO LOW OF Y'ALL 

as much as we would love to ignore this 
A great country cannot be a great country with the sacrifice of the disadvantaged people 

Somewhere somehow people will have to die to actually build a great country


Even now were you leave there are people exploited big time making clothes you are wearing food that you eat cameras that you use 

Let's just not act all holy as if we care 

Fact remains Qatar will stick to their rules no matter how hard the media is trying to paint them as a bad country",2022-11-27T15:54:29Z,0
"Sad but no different then every other industrialised nation. United States used slaves, murdered and made extint hundreds of Native American tribes. Germany killed millions during war. Australia destroyed natives culture, Russia has a history of mass murder of its citizens. The list goes on and on.",2022-11-27T15:54:00Z,0
"why did you not make a video on rohingya muslims when china was sending them to rehabilitation camps ? and not on when US tested nuclear bombs and had their own people watch it to see the affect on them ? or when qatar was building these stadiums and went to talk to them to provide better condititons ? Now shouting out is of no use. Maximum you could ask them to do is compensate those workers. Probably it was not in the hands of Qatar, because agencies played their role and were paid fairly but they kept most of the money to themselves and did not pay workers properly. People who make videos mostly dont know how things work, all they see is problem from afar, which solves nothing. find real problem to it and find a solution to it. May be qatar was not to be blamed but the agencies.",2022-11-27T15:47:42Z,1
Rohingyas exist in Myanmar not China. China is killing uyghars though,2022-11-27T17:41:06Z,
"This is incredibly informative information. I give you and your team a lot of credit for bringing this to Light and showing the world how the rich continue to treat the hard-working or should I say extremely hard-working, poor people of the globe.",2022-11-27T15:46:37Z,0
They are taking advantage of the poor countries to make their country look great yet setting aside the humanitarian and proper working conditions at place.,2022-11-27T15:45:39Z,0
Thanxs for covering up this sad reality.. Where more than 2k indian workers died  while working there and no one get compensated till now.. All the infrastructure was build on blood of slaves. ..,2022-11-27T15:44:02Z,0
You act as if the whole world doesn’t know this already!  Watch ESPN’s Qatar’s World Cup.  You are late to the game my friend!,2022-11-27T15:40:45Z,0
Thank you for showing the behind scenes of what is going on in that country. Great journalism!,2022-11-27T15:40:36Z,0
Its like squid game’s real time such a tragedy 😢,2022-11-27T15:38:29Z,0
Talk about iran too.,2022-11-27T15:35:02Z,0
the World Cup being there seems to be the best thing that could have happened,2022-11-27T15:34:24Z,0
Thanks so much providing this reality....I always hated this country and now I even hate more !!,2022-11-27T15:29:22Z,0
Johnny bhaii.....you are awesome. You are doing the real ground journalism what our so called media trash in our country should be doing adressing and showing issues on ground.,2022-11-27T15:26:40Z,0
Its so sad this has been going on in for years! Once the world Cup is over all will be forgotten and ignored!,2022-11-27T15:23:47Z,0
"I watched all your vedios because you don't have political voice , now showing this ONLY in negative way ( as if its the only region with those issues ) is something I don't appreciate, lets zoom out and look at the advantages of this and how many billions is generated for poor counties caze of this , and trust me every nation have same system its just bit bad in middles eat caze where they come from is so difficult in every aspects and that reflects on their way of thinking and living in the middle east.From 35 years of being here they always end up like this for not attending to be a better person. Most of countries don't face similar cases because they are not even allowing them to enter. Am not on anyone's side , i understand that it is a problem, Its just doesn't look that bad.",2022-11-27T15:23:30Z,3
@DuncanGDA i think you need them,2022-11-27T17:42:54Z,
"You should take your medication. If you don't have any, you clearly need it",2022-11-27T17:07:24Z,
And please stop using youtube algorithms for using QATAR name at this time.,2022-11-27T15:24:56Z,
"I was in Doha a few years back and saw the condition of these workers first hand. The story covered in this video brings back episodes that ultimately made me leave the country. Unlike me, the construction workers couldn't change jobs or leave the country and were bound to their employer. So grateful and relieved that the situation is coming to light and the world knows about this now. Johnny, I have become a fan of your work with this video. Wishing you the very best for all your upcoming work.",2022-11-27T15:21:44Z,0
"It is not the case with Quatar alone. Most of the Arabian countries have similar working conditions of people. Working people's lives in Asian countries and African countries are more horrible than that of Arabian countries. When I just saw the video, I realised that the people over here live far better than the foreign working community living in other parts of Asian countries. This is a true fact. If u are really concerned abt the working community, u can't just stop ur investigation here. Western media just want to show only wt they want to see. It's about football and Quatar. You never ever care for foreign working community living in other countries and their struggles. When African and Asian countries were colonised, they went through really terrible working conditions. Certain people want to be in the top of the world and they just neglect the rest of the suffering people around the world.",2022-11-27T15:21:07Z,0
they are not doing wrong when you read the history of slavery the Europeans were not so nice to foreign labour they have also treated them badly. This is the legacy of Arabians and also of the english people of course,2022-11-27T15:20:57Z,0
"It is not the case with Quatar alone. Most of the Arabian countries have similar working conditions of people. Working people's lives in Asian countries and African countries are more horrible than that of Arabian countries. When I just saw the video, I realised that the people over here live far better than the foreign working community living in other parts of Asian countries. This is a true fact. If u are really concerned abt the working community, u can't just stop ur investigation here. Western media just want to show only wt they want to see. It's about football and Quatar. You never ever care for foreign working community living in other countries and their struggles. When African and Asian countries were colonised, they went through really terrible working conditions. Certain people want to be in the top of the world and they just neglect the rest of the suffering people around the world.",2022-11-27T15:20:32Z,0
"Don’t care, didn’t ask 💀🤡 get a real job like a man, brokie 😂😊",2022-11-27T15:17:26Z,2
"Good to know there's never a lack of inhuman garbage online imitating real people. I gotta know though, how did like an actual pile of shit learn to type on a keyboard?",2022-11-27T17:10:30Z,
"Hahaha, Agree with you",2022-11-27T16:27:22Z,
Great content and very eye opening!,2022-11-27T15:11:13Z,0
Its the agent take the fee then they have to pay off the fee these poor people trying make a living,2022-11-27T15:11:12Z,0
"This is such a professional production, love your work chief! Me and my dad is big fans of football and FIFA and we both agree that going to Qatar to watch the games is not a good idea (seriously theres so much humanitarian/ accomodation issues even for tourist and athletes) thanks for the video Johnny!",2022-11-27T15:11:10Z,0
I like your channel johnny but i heavily disagree with this qatar video because all rich countries like cheap labour UK America Qatar,2022-11-27T15:06:06Z,0
"I grew up in Kuwait (country next to Qatar) for my entire life and this is very accurate. Migrant works (specifically from India and the Philippines) are literally treated worse than animals. At one apartment I lived in, the security guard told me his passport was confiscated and he could never return to India to see his family. It's heartbreaking to see no action taken to such treatment. It really is modern day slavery",2022-11-27T14:57:46Z,0
One of my favorite people on YouTube. A real journalist with courage who does exciting story’s and story’s deemed too dangerous by others 🎉,2022-11-27T14:53:57Z,0
"I am a Muslim and I agree what Qatar is doing is wrong even in Islam it is wrong but we need to remember that Brazil hid the poverty from visitors in the World Cup and that a lot of countries other than Qatar are doing this.

Thats why we can’t focus in Qatar only we need to help people everywhere that are getting treated like that.",2022-11-27T14:49:13Z,0
"Amazing video, really eye opening!🔥",2022-11-27T14:45:38Z,0
"We have this situation in the USA.
We bring Mexican labor. They pay for being recruited, in hope of making the money back to come work the farm fields.
I've seen dozens of males in previous school busses, to shop for their weekly groceries at Walmart.
They too are not allowed to interact with the general public. They're controlled and kept in their own living quarters.",2022-11-27T14:44:31Z,0
Thank you for your work.,2022-11-27T14:41:47Z,0
The west introduced capitalism to the world and slaved and killed millions and today they complain about it 😂. I guess USSR was right,2022-11-27T14:41:04Z,1
True,2022-11-27T16:28:03Z,
"As someone who was born and raised in Qatar, AND has literally been to the industrial area on foot. I can confirm that most of this is quite common knowledge. Most people are aware of the fact that these labour workers or labourers are treated quite harshly with abysmal working conditions. The footage you've collected is quite accurate and it's impossible not to notice living there. Every where you go, you could see them working on the side of the road and on buildings wearing the uniforms even in the heat. There are a lot of parts of the city, especially industrial area where you have huge labour camps. But the thing is, it's so normalisied that it doesn't really stand out or seen as that big of a problem. It's sort of just accepted. This is the case for most gulf countries, where you have a huge portion of the labour class essentially just segregated, and the kafala system is a rapant problem and a huge human rights issue across the region. Qatar has a huge immigrant population, mainly to reach it's 2030 goal and vision for the future. Seeing as most of the infrastructure for those projects have already been completed, it's a bit too late. The damage has been done. The fact that Qatar is an incredibly rich country and could've easily paid these workers fair wages yet they chose to actively exploit them for as cheap as possible baffles me. 

I really like how you've covered this topic, it's quite well done and I appreciate the effort to try and a hands on view of the whole situation. This is one of the more objective stories I've seen on this issue. Much thanks.",2022-11-27T14:40:41Z,5
"@Jo-Ann Morency Vice just did a doc on this modern day slavery too. There is no specific place I know of ,but People from other countries  that are looking for so called better opportunities are trafficked into the US all over in hopes of making a better life for a fee. Often this fee charged by these traffickers entails complete control of every aspect of this person seeking asylum or whatever. There forced to work in horrid conditions for near nothing for employers who are in connection with these traffickers or the trafficker runs the biz. Theres more to it but its true. Then obviously sex workers are often made slaves to there pimps etc . There's many more situations of modern day slavery and it probably happens everywhere sadly. It's widely reported on.",2022-11-28T04:16:44Z,
@Nathan Pell-Cook where in the US? I’ve heard this before but no one tells me where,2022-11-28T03:34:45Z,
Thanks for sharing your experience too. Crazy nearly 2023 and this kind of stuff still happens and it's widespread China has work camps as well and even in US just much more hidden in US,2022-11-28T03:12:27Z,
"No doubt that this video is 100% with true facts and opens up the hardships and betrayals that these skilled/unskilled labourers fall into, this has been going on in neighbouring countries for decades..dating back to the 70's...The big question is why is everyone turning a blind eye...and it still goes on and will continue in the future.. and notice that all these labourers are from backward/developing countries.",2022-11-27T18:53:05Z,
If Johnny won't thank you I will 🙏 thank you for the information and confirming what has been going on in Qatar and exposing these rich bastards 😑 it's heartbreaking because I'm also a construction worker but I get paid really well here in America for my labor wish they could get the same,2022-11-27T16:30:25Z,
why are you advertisting scam?,2022-11-27T14:39:42Z,0
I was going to the World Cup but pulled out when I found out that they used modern  day slavery,2022-11-27T14:37:45Z,0
"Great job
When are you going to do a report about Israel occupation of Palestine and the daily killing of Palestinians ? Are you fair ? Then do it",2022-11-27T14:37:01Z,0
"And say, ""Truth has come, and falsehood has departed. Indeed is falsehood, [by nature], ever bound to depart."" (Qur’ān 17:81)
And We send down of the Qur'an that which is healing and mercy for the believers, but it does not increase the wrongdoers except in loss. (Qur’ān 17:82)",2022-11-27T14:36:30Z,0
Enslavement 🤮,2022-11-27T14:35:15Z,0
Probably prisoners building 💯,2022-11-27T14:34:04Z,0
A massive scam hidden in place sight due to greed? Shocking. Amazing video though exposing this bs.,2022-11-27T14:29:46Z,0
"Not only in Qatar .. the same thing in Abu Dhabi, kuwait and Saudi Arabia..",2022-11-27T14:25:44Z,0
"30+ minute video, why not show the testimony of a citizen of Qatar. 

That way is much easier, if it's hard to get in there.",2022-11-27T14:25:26Z,0
"Every country has a side the news will never show you, Qatar being the host for world cup it's not a surprise that it will be targeted but as a person working in Qatar I will say your working conditions depends on your sponsor some of us are here working happily, accommodation, food, vacation given though still the sector that maybe ain't doing well is construction.  What pains me is that you people come gather information but trust me nothing will change NOTHING, not only in Qatar but the entire world using migrant workers as their labour source",2022-11-27T14:22:23Z,0
"Dethrone Qatar, Eliminaation of Complete Islam",2022-11-27T14:22:03Z,0
Thanks!,2022-11-27T14:22:03Z,0
"Nepal is such a beautiful country beside Himalayas. Only if these people who went there had access to information and better education, they would not have gone to that hell hole.",2022-11-27T14:15:59Z,0
